id,sentence
q2_3_4_page_22-0003,"Phía trong Ngọ Môn là điện Thái Hòa là chính điện đại triều, trước điện là đan bệ, dưới đan bệ là Long Trì; trước mặt trông ra hồ Thái Dịch, phía nam và phía bắc hồ đều dựng cột đồng chạm hình rồng và cửa phường Linh Tinh (1)."
q2_3_4_page_22-0004,"Giữa cửa Ngọ Môn xây đường Trung Đạo, phía đông cầu là Tả đãi lậu viện, phía tây là Hữu đãi lậu viện."
q2_3_4_page_22-0005,"Phía tả cửa Hiển Nhân là đài Đông Khuyết, phía hữu cửa Chương Đức là đài Tây Khuyết, phía tả cửa Hòa Bình là đài Bắc Khuyết."
q2_3_4_page_22-0006,"Bốn mặt ngoài thành đào hồ Kim Thủy, chu vi hơn 5 dặm, rộng 4 trượng, sâu 7 thước 5 tấc."
q2_3_4_page_22-0007,Phía trước cửa Ngọ Môn xây ba cầu đá qua hồ.
q2_3_4_page_22-0008,"Trước ba đài Đông Khuyết, Tây Khuyết và Bắc Khuyết đều xây cầu đá."
q2_3_4_page_22-0009,"Kính xét: Hoàng thành: đầu đời Gia Long, chỗ chính giữa phía trước mặt là đài Nam Khuyết, trên dựng điện Kiền Nguyên, hai cửa tả hữu là Tả Đoan (1) Có nghĩa là lấy được kẻ sĩ giỏi, nên cửa ở trước Khổng Miếu cũng gọi là cửa Linh Tinh."
q2_3_4_page_23-0001,Môn và Hữu Đoan Môn.
q2_3_4_page_23-0002,"Đến năm Minh Mệnh thứ 14 đổi dựng 5 cửa: giữa là Ngọ Môn, hai cửa Tả Giáp Môn, Hữu Giáp Môn và hai cửa Tả Khuyết Môn, Hữu Khuyết Môn, trên dựng lầu Ngũ Phượng."
q2_3_4_page_23-0003,"Tả đãi lậu viện, Hữu đãi lậu viện: đầu đời Gia Long, phía tả là Vũ công thự, phía hữu là Văn công thự."
q2_3_4_page_23-0004,"Năm Minh Mệnh thứ 4 đổi là Tả Triều Đường, Hữu Triều Đường; năm thứ 14 đổi tên hiện nay."
q2_3_4_page_23-0005,"Cửa Hòa Bình: đầu đời Gia Long gọi là cửa Củng Thần; năm Minh Mệnh thứ 2 đổi làm cửa Địa Bình, năm thứ 14 đổi tên hiện nay."
q2_3_4_page_23-0006,"Hồ Kim Thủy ngoài thành đầu đời Gia Long đào ba mặt tả, hữu và sau; năm Minh Mệnh thứ 14 đào mặt trước, nước trong hồ lưu thông."
q2_3_4_page_23-0007,TỬ CẤM THÀNH
q2_3_4_page_23-0008,"Chu vi hơn 2 dặm, cao 9 thước 2 tấc, dày một thước 8 tấc, xây gạch, nam và bắc đều dài 81 trượng, đông và tây đều dài 72 trượng 6 thước 7 tấc, mở 7 cửa: phía nam là cửa Đại Cung, phía đông là cửa Hưng Khánh và cửa Đông An, phía tây là cửa Gia Tường và cửa Tây An, phía bắc là cửa Tường Loan và Tường Lân (năm Minh Mệnh thứ 2 đổi tên cửa Tường Lân làm cửa Nghi Phượng)."
q2_3_4_page_23-0009,"Phía trước là cung Kiến Thành, điện phía trước điện Cần Chính là chính điện thường triều, phía trước điện là Tả vu Hữu vu."
q2_3_4_page_24-0001,"Tiền điện ở phía đông điện Cần Chính là điện Văn Minh, ở phía tây là điện Võ Hiển, phía đông Tả vu dựng điện Đông Các, phía nam điện Đông Các là điện Tụ Khuê thư lâu."
q2_3_4_page_24-0002,"Phía bắc điện Cần Chính là điện Kiền Thành; lại phía bắc là cung Khôn Thái, phía tây là cung Gia Thọ; phía bắc cung Gia Thọ là cung Trường Minh."
q2_3_4_page_24-0003,Còn thể chế của điện đình thì không dám chép.
q2_3_4_page_24-0004,"Kính xét: Tử cấm thành: xây dựng từ năm Gia Long thứ hai, gọi là Cung thành, năm Minh Mệnh thứ 2 đổi tên hiện nay."
q2_3_4_page_24-0005,"Chính giữa mặt trước thành, hồi đầu niên hiệu Gia Long dựng điện Thái Hòa, phía tả và hữu điện mở hai cửa là Tả Túc và Hữu Túc."
q2_3_4_page_24-0006,"Năm Minh Mệnh thứ 14 dời điện Thái Hòa nhích về phía nam, bỏ hai cửa Tả Túc và Hữu Túc, dùng chỗ đất này dựng cửa Đại Cung, phía đông và tây ngoài cửa Đại Cung dựng hai cửa phương, phía đông là cửa Nhật Tinh, phía tây là cửa Nguyệt Anh (trước là Nguyệt Hoa, năm Thiệu Trị thứ 1 đổi là Nguyệt Anh)."
q2_3_4_page_24-0007,"Hai cung Kiền Thành và Khôn Thái: dựng ở trong đại nội đầu đời Gia Long, chưa có tên cung, năm Minh Mệnh thứ 14, quy chế đầy đủ, mới định lấy các điện ở trước điện Trung Hòa làm cung Kiền Thành; các điện ở sau điện Kiền Thành làm cung Khôn Thái."
q2_3_4_page_25-0001,Hai điện Văn Minh và Võ Hiển: đầu đời Gia Long gọi là Tả Phương Đường và Hữu Phương Đường.
q2_3_4_page_25-0002,"Năm Minh Mệnh thứ tư đổi là Võ Hiển điện, hữu làm Văn Minh điện, năm thứ 14 lại đổi tả làm Văn Minh, phía hữu làm Võ Hiển."
q2_3_4_page_25-0003,"Cung Gia Thọ: đầu đời Gia Long gọi là cung Trường Thọ, năm Minh Mệnh thứ 1 tu sửa lại, dâng tên là cung Từ Thọ."
q2_3_4_page_25-0004,Hồi đầu niên hiệu Tự Đức lại tu bổ và dâng tên hiện nay.
q2_3_4_page_25-0005,ĐÀN MIẾU
q2_3_4_page_25-0006,ĐÀN NAM GIAO
q2_3_4_page_25-0007,"Ở địa phận xã Dương Xuân về phía nam Kinh thành, dựng từ năm Gia Long thứ 5, hằng năm cứ đến tháng trọng xuân (tháng 2 âm lịch), bói được ngày tốt thì cử hành lễ đại tế."
q2_3_4_page_25-0008,"Quy chế của đàn chia làm ba tầng Tầng thứ nhất, đàn đắp hình tròn, có 5 án thờ: án chính giữa thờ Hiệu Thiên Thượng Đế và Hoàng địa kỳ; án phối hưởng thứ nhất phía tả thờ Thái Tổ Gia Dụ Hoàng Đế, án phía hữu thờ Thế Tổ Cao Hoàng Đế; án phối hưởng thứ hai phía tả thờ Thánh Tổ Nhân Hoàng Đế, án phía hữu thờ Hiến Tổ Chương Hoàng Đế."
q2_3_4_page_25-0009,"Đàn cao 6 thước 8 tấc, chu vi 30 trượng 3 thước 5 tấc, tô màu xanh, bốn mặt có thêm: ngọ giai (bậc phía nam) 15 bậc, đông, tây, bắc đều 9 bậc."
q2_3_4_page_26-0001,"Tầng thứ hai, đàn vuông, có 8 án tòng tự: phía tả, án thứ nhất thờ thần Đại Minh, án thứ nhì thờ các vì sao trong bầu trời, án thứ ba thờ thần Mây, thần Mưa, thần Gió và thần Sấm, án thứ tư thờ thần Thái Tuế và thần Nguyệt Tướng."
q2_3_4_page_26-0002,"Phía hữu, án thứ nhất thờ thần Dạ Minh, án thứ nhì thờ thần Núi, thần Biển, thần Sông và thần Chầm, thần các núi Triệu Tường, Khải Vận, Hưng Nghiệp và Thiên Thọ đều tòng tự ở án này, án thứ ba thờ thần giữ thờ thần giữ các lăng tẩm, án thứ tư thờ các thần trong thiên hạ."
q2_3_4_page_26-0003,"Tầng thứ ba, đàn cao 2 thước 1 tấc, vuông, mỗi bề 32 trượng 7 thước, bốn mặt thềm đều bốn bậc."
q2_3_4_page_26-0004,"Góc đông nam là lò phần sài, góc tây bắc là huyệt ế mao huyết."
q2_3_4_page_26-0005,"Ba tầng đàn, xung quanh đều xây lan can, tầng thứ nhất tô màu xanh, tầng thứ hai tô màu vàng, tầng thứ ba tô màu đỏ."
q2_3_4_page_26-0006,Khoảng đất vuông ngoài đàn đều trồng cây thông.
q2_3_4_page_26-0007,"Ngoài khoảng đất vuông xây tường bằng đá, chu vi 152 trượng 9 thước, bốn mặt đều mở ba cửa rộng."
q2_3_4_page_26-0008,"Phía đông bắc ngoài tường là thần khố (nhà kho), thần trù (nhà bếp), kho tế khí và nhà sát sinh; phía tây nam là trai cung, xung quanh xây tường gạch, mở hai cửa trước sau, trong tường và ngoài tường trống nhiều cây thông."
q2_3_4_page_27-0001,"Kính xét: theo thể lệ cũ đời Gia Long, đàn Nam Giao tế lộ thiên."
q2_3_4_page_27-0002,"Năm Minh Mệnh thứ 20, ngày tế, tầng thứ nhất căng màn xanh gọi là Thanh ốc, tầng thứ hai căng màn vàng gọi là Hoàng ốc, tế xong triệt bỏ đi."
q2_3_4_page_27-0003,"Năm Thiệu Trị thứ 6, đổi màn xanh gọi là Hoàng khung vũ, đến đời Tự Đức theo đấy đặt làm chế độ thường hành."
q2_3_4_page_27-0004,"Lễ đại tự: đầu đời Gia Long, tế vào tháng trọng xuân (tháng 2 âm lịch), năm Minh Mệnh thứ 20 đổi tế vào tháng quý xuân (tháng ba), năm Tự Đức thứ 1 lại đổi tế vào tháng trọng xuân."
q2_3_4_page_27-0005,"Lại xét: năm Minh Mệnh thứ 17 đúc cửu đỉnh: khắc hình tượng Mặt trời và biển Đông vào Cao đỉnh; hình tượng Mặt trăng và biển Nam vào Nhân đỉnh; hình tượng Ngũ tinh (Kim, Mộc, Thủy, Hỏa, Thổ) và biển Tây vào Chương đỉnh; hình tượng Bắc Đẩu và Ngân hán vào Anh đỉnh; hình tượng Nam Đẩu vào Nghị đỉnh; hình tượng Gió vào Thuần đỉnh; hình tượng Mây vào Tuyên đỉnh; hình tượng Sấm vào Dụ đỉnh; hình tượng Mưa và Cầu vồng vào Huyền đỉnh (1)."
q2_3_4_page_27-0006,"(1) Minh Mệnh đúc cửu đỉnh lại đặt tên riêng cho từng cái, là có ý để dùng làm miếu hiệu của các vua nhà Nguyễn như Gia Long là Thế Tổ Cao Hoàng Đế, Minh Mệnh là Thánh Tổ Nhân Hoàng Đế, Thiệu Trị là Hiến Tổ Chương Hoàng Đế, Tự Đức là Dực Tông Anh Hoàng Đế, Kiến Phúc là Giản Tông Nghị Hoàng Đế, Đồng Khánh là Cảnh Tông Thuần Hoàng Đế, Khải Định là Hoàng Tông Tuyên Hoàng Đế."
q2_3_4_page_27-0007,Nhưng mới được 7 đời thì nhà Nguyễn đổ.
q2_3_4_page_28-0001,ĐÀN XÃ TẮC
q2_3_4_page_28-0002,"Ở địa phận xã Hữu Niên về phía hữu trong Kinh thành, hướng về phương bắc, xây đắp từ năm Gia Long thứ 5, hạ lệnh cho các thành dinh trấn đều cống đất sạch nộp vào Kinh sư để xây đắp, hàng năm tế vào tháng trọng xuân ngày mậu sau tế Nam Giao, và tháng trọng thu ngày mậu đầu tháng."
q2_3_4_page_28-0003,"Thể chế đàn này chia làm hai tầng: tầng thứ nhất, án chính giữa thờ thần Đại xã và Đại tấc và án bên hữu thờ phối thần Hậu thổ và Câu long thị; án bên tả thờ phối Hậu tấc thị, hai án bày ở phía đông phía tây hướng vào nhau."
q2_3_4_page_28-0004,"Đàn cao 4 thước, chu vi vuông 28 trượng, bốn phía cửa có thêm bực, thêm bắc 11 bực, các cửa khác đều 7 bực."
q2_3_4_page_28-0005,"Tầng thứ hai, đàn cao 2 thước 5 tấc, chu vi vuông 69 trượng 2 thước, có bốn phía có thêm bực đều 5 bực; phía tây bắc là huyệt chôn mao huyết."
q2_3_4_page_28-0006,"Đất đáp đàn dùng đất ngũ sắc, sắc đất theo từng phương (1)."
q2_3_4_page_28-0007,"Chung quanh xây lan can, khu đất vuông ngoài đàn trồng cây thông, cây xoài và cây mù u, ngoài cùng xây tường đá, chu vi 200 trượng, bốn mặt đều có cửa Linh Tinh."
q2_3_4_page_28-0008,Phía trước đàn đào hồ vuông.
q2_3_4_page_28_29-0001,"Năm Gia Long thứ 8, định lệ cứ 3 năm vua thân tế một (1)Sắc đất theo từng phương: ở giữa đàn đắp đất sắc vàng, phương đông đắp đất sắc xanh, phương tây sắc tráng, phương nam sắc đỏ, phương bắc sắc đen, lần, ngoài ra sai đại thần tế thay."
q2_3_4_page_29-0001,"Năm Minh Mệnh thứ 3, thứ 11 và 21, Thánh Tổ Nhân Hoàng Đế ba lần thân đến tế."
q2_3_4_page_29-0002,"Năm Thiệu Trị thứ 3 và thứ 6, Hiến Tổ Chương Hoàng Đế hai lần thân đến tế."
